Player,team,Age,Pos,dominant_hand,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,TB,GIDP,SH,SF,IBB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,WAR,Awards
Marcell Ozuna,braves,33.0,DH,Right,162.0,688.0,606.0,96.0,183.0,31.0,0.0,39.0,104.0,1.0,0.0,74.0,170.0,3.0,331.0,23.0,0.0,4.0,2.0,0.302,0.378,0.546,0.925,154.0,0.394,154.0,4.3,ASMVP-4
Adam Duvall,braves,35.0,OF,Right,104.0,330.0,303.0,29.0,55.0,10.0,0.0,11.0,30.0,0.0,0.0,21.0,99.0,5.0,98.0,6.0,0.0,1.0,0.0,0.182,0.245,0.323,0.569,57.0,0.262,59.0,-1.4,
Sean Murphy,braves,29.0,C,Right,72.0,264.0,233.0,19.0,45.0,5.0,1.0,10.0,25.0,0.0,0.0,27.0,67.0,3.0,82.0,7.0,0.0,1.0,1.0,0.193,0.284,0.352,0.636,76.0,0.293,81.0,1.3,
Ramón Laureano,braves,29.0,OF,Right,67.0,226.0,216.0,28.0,64.0,13.0,1.0,10.0,29.0,5.0,2.0,8.0,64.0,2.0,109.0,4.0,0.0,0.0,0.0,0.296,0.327,0.505,0.832,128.0,0.37,136.0,1.3,
Jorge Soler,braves,32.0,RF,Right,49.0,182.0,152.0,27.0,37.0,11.0,0.0,9.0,24.0,0.0,0.0,24.0,44.0,3.0,75.0,0.0,0.0,1.0,0.0,0.243,0.356,0.493,0.849,134.0,0.364,133.0,0.1,
Whit Merrifield,braves,35.0,2B,Right,42.0,161.0,137.0,23.0,34.0,5.0,2.0,1.0,4.0,6.0,2.0,20.0,33.0,1.0,46.0,5.0,3.0,0.0,0.0,0.248,0.348,0.336,0.684,93.0,0.323,101.0,0.2,
Gio Urshela,braves,32.0,3B,Right,36.0,136.0,132.0,9.0,35.0,9.0,0.0,4.0,15.0,0.0,0.0,4.0,23.0,0.0,56.0,1.0,0.0,0.0,0.0,0.265,0.287,0.424,0.711,95.0,0.304,89.0,1.0,
Eddie Rosario,braves,32.0,LF,Left,24.0,84.0,78.0,7.0,12.0,1.0,0.0,3.0,9.0,1.0,0.0,3.0,23.0,0.0,22.0,0.0,1.0,2.0,0.0,0.154,0.181,0.282,0.463,27.0,0.202,13.0,-0.4,
Zack Short,braves,29.0,IF,Right,30.0,69.0,54.0,9.0,8.0,3.0,0.0,0.0,5.0,2.0,0.0,12.0,16.0,1.0,11.0,0.0,2.0,0.0,0.0,0.148,0.313,0.204,0.517,49.0,0.276,63.0,0.2,
Chadwick Tromp,braves,29.0,C,Right,19.0,54.0,52.0,3.0,13.0,6.0,0.0,0.0,6.0,0.0,0.0,1.0,17.0,0.0,19.0,2.0,0.0,1.0,0.0,0.25,0.259,0.365,0.625,72.0,0.282,73.0,0.2,
