Player,team,Age,Pos,dominant_hand,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,TB,GIDP,SH,SF,IBB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,WAR,Awards
Bubba Thompson,reds,26.0,CF,Right,17.0,18.0,18.0,5.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,11.0,0.0,3.0,1.0,0.0,0.0,0.0,0.111,0.111,0.167,0.278,-25.0,0.186,-47.0,-0.3,
Levi Jordan,reds,28.0,UT,Right,7.0,11.0,10.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.1,0.091,0.2,0.291,-24.0,0.113,-53.0,-0.2,
Edwin Ríos,reds,30.0,1B,Left,5.0,10.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.111,0.2,0.111,0.311,-11.0,0.159,-21.0,-0.1,
Conner Capel,reds,27.0,DH,Left,5.0,8.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.5,38.0,0.254,27.0,-0.1,
Liván Soto,reds,24.0,DH,Left,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,-138.0,-0.1,
Joey Wiemer,reds,25.0,OF,Right,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,,,0.691,373.0,0.0,
Eric Yang,reds,26.0,,Right,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,-145.0,,
Lucas Sims,reds,30.0,P,Right,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Buck Farmer,reds,33.0,P,Left,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Alexis Díaz,reds,27.0,P,Right,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Fernando Cruz,reds,34.0,P,Both,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Justin Wilson,reds,36.0,P,Left,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Alex Young,reds,30.0,P,Left,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Team Totals,reds,,,Right,162.0,5970.0,5325.0,699.0,1230.0,257.0,29.0,174.0,663.0,207.0,45.0,496.0,1459.0,87.0,2067.0,86.0,18.0,43.0,7.0,0.231,0.305,0.388,0.693,88.0,0.313,88.0,4.5,
Bo Naylor,guardians,24.0,C,Left,123.0,389.0,354.0,39.0,71.0,10.0,2.0,13.0,39.0,6.0,3.0,29.0,122.0,2.0,124.0,3.0,2.0,2.0,1.0,0.201,0.264,0.35,0.614,73.0,0.272,71.0,0.7,
Josh Naylor,guardians,27.0,1B,Left,152.0,633.0,563.0,84.0,137.0,27.0,0.0,31.0,108.0,6.0,2.0,58.0,105.0,7.0,257.0,17.0,0.0,4.0,7.0,0.243,0.32,0.456,0.776,118.0,0.336,117.0,1.5,AS
Andrés Giménez,guardians,25.0,2B,Left,152.0,633.0,583.0,64.0,147.0,22.0,1.0,9.0,63.0,30.0,5.0,26.0,97.0,15.0,198.0,11.0,3.0,6.0,1.0,0.252,0.298,0.34,0.638,82.0,0.294,81.0,4.0,GG
Brayan Rocchio,guardians,23.0,SS,Both,143.0,442.0,383.0,50.0,79.0,18.0,0.0,8.0,36.0,10.0,6.0,44.0,90.0,8.0,121.0,11.0,2.0,5.0,1.0,0.206,0.298,0.316,0.614,76.0,0.281,78.0,1.9,
José Ramírez,guardians,31.0,3B,Both,158.0,682.0,620.0,114.0,173.0,39.0,2.0,39.0,118.0,41.0,7.0,54.0,82.0,1.0,333.0,9.0,0.0,6.0,12.0,0.279,0.335,0.537,0.872,143.0,0.376,140.0,6.8,ASMVP-5SS
Steven Kwan,guardians,26.0,LF,Left,122.0,540.0,480.0,83.0,140.0,16.0,3.0,14.0,44.0,12.0,5.0,53.0,51.0,5.0,204.0,5.0,2.0,0.0,0.0,0.292,0.368,0.425,0.793,126.0,0.352,128.0,4.0,ASGG
Tyler Freeman,guardians,25.0,CF,Right,118.0,383.0,330.0,48.0,69.0,14.0,1.0,7.0,32.0,11.0,6.0,28.0,53.0,19.0,106.0,15.0,3.0,3.0,1.0,0.209,0.305,0.321,0.626,79.0,0.288,83.0,0.9,
Will Brennan,guardians,26.0,RF,Left,114.0,353.0,330.0,37.0,87.0,13.0,2.0,8.0,30.0,4.0,2.0,19.0,48.0,3.0,128.0,9.0,0.0,1.0,2.0,0.264,0.309,0.388,0.697,97.0,0.307,96.0,-0.2,
David Fry,guardians,28.0,DH,Right,122.0,392.0,335.0,44.0,88.0,18.0,1.0,14.0,51.0,4.0,1.0,42.0,84.0,9.0,150.0,13.0,0.0,4.0,4.0,0.263,0.356,0.448,0.804,128.0,0.352,128.0,1.4,AS
Daniel Schneemann,guardians,27.0,UT,Left,73.0,221.0,193.0,17.0,42.0,10.0,2.0,5.0,22.0,3.0,2.0,25.0,70.0,0.0,71.0,1.0,0.0,3.0,0.0,0.218,0.303,0.368,0.671,91.0,0.297,90.0,0.7,
Jhonkensy Noel,guardians,22.0,RF,Right,67.0,198.0,179.0,25.0,39.0,7.0,1.0,13.0,28.0,0.0,0.0,13.0,63.0,5.0,87.0,1.0,0.0,1.0,0.0,0.218,0.288,0.486,0.774,115.0,0.333,114.0,1.0,
Lane Thomas,guardians,28.0,CF,Right,53.0,187.0,172.0,23.0,36.0,10.0,0.0,7.0,23.0,4.0,2.0,12.0,65.0,2.0,67.0,1.0,0.0,1.0,1.0,0.209,0.267,0.39,0.657,85.0,0.28,76.0,-0.2,
Ángel Martínez,guardians,22.0,OF,Both,43.0,169.0,151.0,16.0,35.0,7.0,0.0,3.0,11.0,3.0,1.0,15.0,33.0,0.0,51.0,2.0,1.0,2.0,0.0,0.232,0.298,0.338,0.635,81.0,0.286,80.0,0.1,
Gabriel Arias,guardians,24.0,IF,Right,53.0,161.0,153.0,15.0,34.0,9.0,1.0,3.0,15.0,5.0,2.0,6.0,53.0,1.0,54.0,4.0,0.0,1.0,0.0,0.222,0.255,0.353,0.608,71.0,0.273,71.0,-0.4,
Kyle Manzardo,guardians,23.0,DH,Left,53.0,156.0,145.0,11.0,34.0,12.0,0.0,5.0,15.0,0.0,0.0,9.0,41.0,1.0,61.0,3.0,0.0,1.0,0.0,0.234,0.282,0.421,0.703,97.0,0.307,96.0,0.0,
Austin Hedges,guardians,31.0,C,Right,66.0,146.0,132.0,12.0,20.0,3.0,0.0,2.0,15.0,2.0,0.0,6.0,50.0,3.0,29.0,2.0,3.0,2.0,0.0,0.152,0.203,0.22,0.422,21.0,0.199,14.0,-0.6,
Estevan Florial,guardians,26.0,OF,Left,36.0,111.0,98.0,11.0,17.0,6.0,2.0,3.0,11.0,2.0,1.0,11.0,41.0,1.0,36.0,2.0,1.0,0.0,0.0,0.173,0.264,0.367,0.631,78.0,0.275,73.0,0.1,
Ramón Laureano,guardians,29.0,OF,Right,31.0,83.0,70.0,7.0,10.0,3.0,0.0,1.0,4.0,3.0,1.0,7.0,32.0,5.0,16.0,1.0,0.0,1.0,0.0,0.143,0.265,0.229,0.494,43.0,0.248,52.0,0.0,
Johnathan Rodríguez,guardians,24.0,RF,Right,13.0,40.0,31.0,6.0,4.0,1.0,0.0,0.0,5.0,0.0,0.0,9.0,14.0,0.0,5.0,1.0,0.0,0.0,0.0,0.129,0.325,0.161,0.486,46.0,0.25,55.0,-0.4,
Myles Straw,guardians,29.0,CF,Right,7.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.5,44.0,0.348,38.0,-0.1,
José Tena,guardians,23.0,3B,Left,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,-124.0,-0.1,
Spencer Howard,guardians,27.0,P,Right,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Hunter Gaddis,guardians,26.0,P,Right,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Pedro Avila,guardians,27.0,P,Right,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Team Totals,guardians,,,Right,161.0,5927.0,5310.0,708.0,1263.0,245.0,18.0,185.0,670.0,148.0,46.0,466.0,1196.0,87.0,2099.0,111.0,17.0,43.0,30.0,0.238,0.307,0.395,0.703,99.0,0.312,98.0,20.9,
Jacob Stallings,rockies,34.0,C,Right,82.0,281.0,243.0,31.0,64.0,17.0,1.0,9.0,36.0,0.0,0.0,27.0,65.0,9.0,110.0,10.0,1.0,1.0,1.0,0.263,0.357,0.453,0.81,116.0,0.355,119.0,1.8,
Michael Toglia,rockies,25.0,1B,Both,116.0,458.0,399.0,62.0,87.0,14.0,3.0,25.0,55.0,10.0,1.0,54.0,147.0,1.0,182.0,7.0,0.0,3.0,2.0,0.218,0.311,0.456,0.767,102.0,0.334,102.0,2.2,
Brendan Rodgers,rockies,27.0,2B,Right,135.0,539.0,501.0,67.0,134.0,29.0,1.0,13.0,54.0,1.0,0.0,31.0,132.0,4.0,204.0,12.0,1.0,2.0,1.0,0.267,0.314,0.407,0.721,92.0,0.317,92.0,1.1,
Ezequiel Tovar,rockies,22.0,SS,Right,157.0,695.0,655.0,83.0,176.0,45.0,4.0,26.0,78.0,6.0,5.0,23.0,200.0,4.0,307.0,16.0,5.0,7.0,1.0,0.269,0.295,0.469,0.763,100.0,0.325,99.0,3.8,MVP-19GG
Ryan McMahon,rockies,29.0,3B,Left,153.0,645.0,567.0,68.0,137.0,28.0,0.0,20.0,65.0,4.0,6.0,69.0,185.0,3.0,225.0,9.0,0.0,4.0,4.0,0.242,0.325,0.397,0.722,93.0,0.311,90.0,2.5,AS
Nolan Jones,rockies,26.0,LF,Left,79.0,297.0,256.0,28.0,58.0,13.0,1.0,3.0,28.0,5.0,4.0,36.0,91.0,1.0,82.0,7.0,1.0,3.0,2.0,0.227,0.321,0.32,0.641,73.0,0.289,73.0,-0.7,
Brenton Doyle,rockies,26.0,CF,Right,149.0,603.0,542.0,82.0,141.0,24.0,4.0,23.0,72.0,30.0,5.0,46.0,153.0,3.0,242.0,13.0,4.0,8.0,1.0,0.26,0.317,0.446,0.764,102.0,0.338,102.0,4.0,GG
Jake Cave,rockies,31.0,RF,Left,123.0,346.0,323.0,42.0,81.0,16.0,5.0,7.0,37.0,5.0,2.0,18.0,98.0,1.0,128.0,6.0,1.0,3.0,1.0,0.251,0.29,0.396,0.686,82.0,0.297,77.0,-0.7,
Charlie Blackmon,rockies,37.0,DH,Left,124.0,499.0,449.0,59.0,115.0,24.0,5.0,12.0,52.0,6.0,2.0,43.0,86.0,6.0,185.0,4.0,0.0,1.0,2.0,0.256,0.329,0.412,0.741,97.0,0.329,100.0,0.6,
Elias Díaz,rockies,33.0,C,Right,84.0,327.0,304.0,26.0,82.0,18.0,0.0,5.0,36.0,0.0,0.0,17.0,64.0,4.0,115.0,13.0,0.0,2.0,2.0,0.27,0.315,0.378,0.693,85.0,0.306,84.0,1.2,
Elehuris Montero,rockies,25.0,1B,Right,67.0,247.0,224.0,23.0,46.0,10.0,0.0,4.0,28.0,0.0,0.0,20.0,56.0,0.0,68.0,7.0,0.0,3.0,0.0,0.205,0.267,0.304,0.571,53.0,0.265,54.0,-1.7,
Hunter Goodman,rockies,24.0,UT,Right,70.0,224.0,211.0,24.0,40.0,9.0,0.0,13.0,36.0,1.0,1.0,8.0,64.0,3.0,88.0,5.0,0.0,2.0,0.0,0.19,0.228,0.417,0.645,68.0,0.27,59.0,-0.8,
Jordan Beck,rockies,23.0,LF,Right,55.0,184.0,170.0,14.0,32.0,6.0,0.0,3.0,13.0,7.0,1.0,12.0,65.0,1.0,47.0,3.0,0.0,1.0,1.0,0.188,0.245,0.276,0.521,40.0,0.246,36.0,-0.8,
Sam Hilliard,rockies,30.0,OF,Left,58.0,158.0,138.0,26.0,33.0,5.0,1.0,10.0,27.0,5.0,2.0,14.0,56.0,0.0,70.0,3.0,4.0,2.0,1.0,0.239,0.305,0.507,0.812,113.0,0.347,113.0,0.5,
Kris Bryant,rockies,32.0,UT,Right,37.0,155.0,133.0,9.0,29.0,5.0,0.0,2.0,15.0,0.0,0.0,13.0,48.0,8.0,40.0,6.0,0.0,1.0,0.0,0.218,0.323,0.301,0.623,69.0,0.292,74.0,-0.7,
Sean Bouchard,rockies,28.0,OF,Right,31.0,108.0,91.0,14.0,17.0,7.0,0.0,1.0,8.0,4.0,0.0,12.0,33.0,2.0,27.0,0.0,1.0,2.0,0.0,0.187,0.29,0.297,0.586,58.0,0.299,73.0,-0.6,
Aaron Schunk,rockies,26.0,IF,Right,39.0,98.0,94.0,14.0,22.0,3.0,0.0,2.0,7.0,0.0,1.0,4.0,31.0,0.0,31.0,0.0,0.0,0.0,1.0,0.234,0.265,0.33,0.595,59.0,0.26,55.0,0.2,
Alan Trejo,rockies,28.0,2B,Right,28.0,67.0,63.0,4.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,15.0,1.0,9.0,2.0,1.0,0.0,0.0,0.143,0.182,0.143,0.325,-11.0,0.154,-27.0,-0.8,
Drew Romo,rockies,22.0,C,Both,16.0,53.0,51.0,4.0,9.0,3.0,0.0,0.0,6.0,0.0,1.0,2.0,18.0,0.0,12.0,2.0,0.0,0.0,0.0,0.176,0.208,0.235,0.443,19.0,0.186,5.0,-0.2,
Adael Amador,rockies,21.0,2B,Both,10.0,36.0,35.0,1.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,7.0,1.0,0.0,0.0,0.0,0.171,0.194,0.2,0.394,6.0,0.21,10.0,-0.4,
Greg Jones,rockies,26.0,RF,Both,6.0,6.0,5.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.2,0.333,0.8,1.133,190.0,0.451,188.0,0.1,
Nick Mears,rockies,27.0,P,Right,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Justin Lawrence,rockies,29.0,P,Right,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Peter Lambert,rockies,27.0,P,Right,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Matt Koch,rockies,33.0,P,Left,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Tyler Kinley,rockies,33.0,P,Right,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Seth Halvorsen,rockies,24.0,P,Right,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Kyle Freeland,rockies,31.0,P,Left,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Jeff Criswell,rockies,25.0,P,Right,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Jalen Beeks,rockies,30.0,P,Left,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Victor Vodnik,rockies,24.0,P,Right,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Team Totals,rockies,,,Right,162.0,6026.0,5454.0,682.0,1319.0,277.0,25.0,179.0,655.0,85.0,31.0,453.0,1617.0,51.0,2183.0,126.0,19.0,45.0,20.0,0.242,0.304,0.4,0.704,87.0,0.31,86.0,10.7,
Jake Rogers,tigers,29.0,C,Right,102.0,337.0,310.0,43.0,61.0,16.0,1.0,10.0,36.0,1.0,0.0,22.0,99.0,3.0,109.0,6.0,0.0,2.0,1.0,0.197,0.255,0.352,0.607,70.0,0.27,69.0,1.0,
Spencer Torkelson,tigers,24.0,1B,Right,92.0,381.0,342.0,45.0,75.0,21.0,1.0,10.0,37.0,0.0,0.0,33.0,105.0,4.0,128.0,6.0,0.0,1.0,0.0,0.219,0.295,0.374,0.669,88.0,0.293,86.0,0.3,
Colt Keith,tigers,22.0,2B,Left,148.0,556.0,516.0,54.0,134.0,15.0,4.0,13.0,61.0,7.0,1.0,36.0,110.0,2.0,196.0,4.0,0.0,2.0,2.0,0.26,0.309,0.38,0.689,94.0,0.308,95.0,1.1,
Javier Báez,tigers,31.0,SS,Right,80.0,289.0,272.0,25.0,50.0,12.0,0.0,6.0,37.0,8.0,1.0,12.0,69.0,2.0,80.0,10.0,0.0,3.0,1.0,0.184,0.221,0.294,0.516,44.0,0.236,41.0,-1.1,
Gio Urshela,tigers,32.0,3B,Right,92.0,325.0,300.0,25.0,73.0,10.0,1.0,5.0,37.0,0.0,0.0,19.0,49.0,1.0,100.0,12.0,0.0,5.0,1.0,0.243,0.286,0.333,0.619,75.0,0.284,79.0,-0.3,
Riley Greene,tigers,23.0,LF,Left,137.0,584.0,512.0,82.0,134.0,27.0,6.0,24.0,74.0,4.0,2.0,64.0,156.0,5.0,245.0,2.0,0.0,2.0,3.0,0.262,0.348,0.479,0.827,131.0,0.358,133.0,5.4,AS
Parker Meadows,tigers,24.0,CF,Left,82.0,298.0,270.0,39.0,66.0,12.0,6.0,9.0,28.0,9.0,4.0,25.0,76.0,1.0,117.0,0.0,1.0,1.0,0.0,0.244,0.31,0.433,0.743,107.0,0.324,108.0,2.2,
Wenceel Pérez,tigers,24.0,RF,Both,112.0,425.0,389.0,51.0,94.0,16.0,6.0,9.0,37.0,9.0,5.0,32.0,92.0,1.0,149.0,5.0,2.0,1.0,0.0,0.242,0.3,0.383,0.683,92.0,0.302,93.0,0.7,
Justyn-Henry Malloy,tigers,24.0,DH,Right,71.0,230.0,202.0,18.0,41.0,7.0,1.0,8.0,21.0,1.0,1.0,23.0,85.0,3.0,74.0,2.0,0.0,2.0,0.0,0.203,0.291,0.366,0.658,85.0,0.289,84.0,-0.4,
Matt Vierling,tigers,27.0,UT,Right,144.0,567.0,518.0,80.0,133.0,28.0,5.0,16.0,57.0,6.0,1.0,41.0,121.0,3.0,219.0,9.0,0.0,5.0,1.0,0.257,0.312,0.423,0.735,106.0,0.323,106.0,3.0,
Mark Canha,tigers,35.0,UT,Right,93.0,377.0,320.0,42.0,74.0,17.0,0.0,7.0,38.0,4.0,0.0,42.0,79.0,11.0,112.0,9.0,0.0,4.0,2.0,0.231,0.337,0.35,0.687,95.0,0.32,103.0,0.6,
Zach McKinstry,tigers,29.0,IF,Left,118.0,325.0,297.0,32.0,64.0,14.0,5.0,4.0,23.0,16.0,0.0,24.0,69.0,2.0,100.0,3.0,0.0,2.0,0.0,0.215,0.277,0.337,0.614,73.0,0.288,74.0,0.8,
Kerry Carpenter,tigers,26.0,RF,Left,87.0,296.0,264.0,37.0,75.0,16.0,5.0,18.0,57.0,0.0,2.0,22.0,75.0,4.0,155.0,5.0,0.0,3.0,1.0,0.284,0.345,0.587,0.932,157.0,0.386,156.0,2.2,
Andy Ibáñez,tigers,31.0,2B,Right,99.0,244.0,224.0,30.0,54.0,9.0,1.0,5.0,32.0,2.0,3.0,15.0,63.0,3.0,80.0,2.0,0.0,2.0,0.0,0.241,0.295,0.357,0.652,84.0,0.289,86.0,1.4,
Carson Kelly,tigers,29.0,C,Right,60.0,203.0,179.0,21.0,43.0,4.0,1.0,7.0,29.0,0.0,0.0,17.0,40.0,6.0,70.0,3.0,0.0,1.0,0.0,0.24,0.325,0.391,0.716,102.0,0.315,102.0,0.7,
Trey Sweeney,tigers,24.0,SS,Left,36.0,119.0,110.0,11.0,24.0,5.0,0.0,4.0,17.0,2.0,0.0,7.0,32.0,1.0,41.0,3.0,0.0,1.0,0.0,0.218,0.269,0.373,0.642,79.0,0.29,81.0,0.7,
Jace Jung,tigers,23.0,3B,Left,34.0,94.0,79.0,14.0,19.0,5.0,0.0,0.0,3.0,0.0,1.0,15.0,29.0,0.0,24.0,3.0,0.0,0.0,0.0,0.241,0.362,0.304,0.665,92.0,0.304,97.0,-0.5,
Dillon Dingler,tigers,25.0,C,Right,27.0,87.0,84.0,2.0,14.0,5.0,2.0,1.0,11.0,0.0,0.0,3.0,30.0,0.0,26.0,2.0,0.0,0.0,0.0,0.167,0.195,0.31,0.505,40.0,0.217,31.0,-0.3,
Akil Baddoo,tigers,25.0,LF,Left,31.0,82.0,73.0,7.0,10.0,2.0,2.0,2.0,5.0,1.0,0.0,8.0,27.0,0.0,22.0,0.0,0.0,1.0,0.0,0.137,0.22,0.301,0.521,46.0,0.23,39.0,-0.5,
Bligh Madris,tigers,28.0,1B,Left,21.0,75.0,67.0,8.0,18.0,3.0,0.0,1.0,5.0,0.0,0.0,6.0,20.0,0.0,24.0,0.0,0.0,1.0,0.0,0.269,0.324,0.358,0.683,93.0,0.298,89.0,0.2,
Ryan Kreidler,tigers,26.0,SS,Right,35.0,65.0,59.0,9.0,7.0,0.0,0.0,1.0,2.0,5.0,3.0,6.0,19.0,0.0,10.0,2.0,0.0,0.0,0.0,0.119,0.2,0.169,0.369,6.0,0.17,1.0,-0.5,
Ryan Vilade,tigers,25.0,OF,Right,17.0,49.0,45.0,5.0,8.0,0.0,0.0,1.0,5.0,0.0,0.0,2.0,12.0,0.0,11.0,2.0,1.0,1.0,0.0,0.178,0.208,0.244,0.453,28.0,0.218,31.0,-0.7,
Buddy Kennedy,tigers,25.0,IF,Right,6.0,13.0,10.0,2.0,2.0,0.0,0.0,1.0,4.0,1.0,0.0,2.0,4.0,0.0,5.0,0.0,0.0,1.0,0.0,0.2,0.308,0.5,0.808,123.0,0.35,114.0,0.2,
Jason Foley,tigers,28.0,P,Right,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Mason Englert,tigers,24.0,P,Both,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Team Totals,tigers,,,Right,162.0,6021.0,5442.0,682.0,1273.0,244.0,47.0,162.0,656.0,76.0,24.0,476.0,1461.0,52.0,2097.0,90.0,4.0,41.0,12.0,0.234,0.3,0.385,0.685,92.0,0.304,93.0,16.2,
Yainer Diaz,astros,25.0,C,Right,148.0,619.0,585.0,70.0,175.0,29.0,3.0,16.0,84.0,2.0,0.0,24.0,107.0,2.0,258.0,22.0,0.0,8.0,1.0,0.299,0.325,0.441,0.766,116.0,0.339,120.0,3.3,
Jon Singleton,astros,32.0,1B,Left,119.0,405.0,355.0,46.0,83.0,13.0,1.0,13.0,42.0,0.0,0.0,47.0,111.0,0.0,137.0,2.0,0.0,3.0,0.0,0.234,0.321,0.386,0.707,101.0,0.317,105.0,0.3,
Jose Altuve,astros,34.0,2B,Right,153.0,682.0,628.0,94.0,185.0,31.0,0.0,20.0,65.0,22.0,7.0,47.0,119.0,7.0,276.0,15.0,0.0,0.0,2.0,0.295,0.35,0.439,0.79,124.0,0.348,126.0,3.4,ASMVP-15SS
Jeremy Peña,astros,26.0,SS,Right,157.0,650.0,602.0,78.0,160.0,28.0,2.0,15.0,70.0,20.0,6.0,25.0,111.0,14.0,237.0,15.0,3.0,6.0,1.0,0.266,0.308,0.394,0.701,99.0,0.311,99.0,4.1,
Alex Bregman,astros,30.0,3B,Right,145.0,634.0,581.0,79.0,151.0,30.0,2.0,26.0,75.0,3.0,1.0,44.0,86.0,5.0,263.0,13.0,0.0,4.0,1.0,0.26,0.315,0.453,0.768,116.0,0.334,117.0,4.1,GG
Mauricio Dubón,astros,29.0,LF,Right,137.0,428.0,402.0,45.0,108.0,25.0,0.0,4.0,47.0,3.0,2.0,16.0,55.0,2.0,145.0,6.0,3.0,5.0,0.0,0.269,0.296,0.361,0.657,87.0,0.289,85.0,1.1,
Jake Meyers,astros,28.0,CF,Right,148.0,513.0,461.0,51.0,101.0,20.0,3.0,13.0,61.0,11.0,3.0,35.0,117.0,10.0,166.0,17.0,3.0,4.0,0.0,0.219,0.286,0.36,0.646,83.0,0.288,83.0,1.7,
Kyle Tucker,astros,27.0,RF,Left,78.0,339.0,277.0,56.0,80.0,13.0,0.0,23.0,49.0,11.0,0.0,56.0,54.0,1.0,162.0,5.0,0.0,2.0,3.0,0.289,0.408,0.585,0.993,179.0,0.426,179.0,4.7,AS
Yordan Alvarez,astros,27.0,DH,Left,147.0,635.0,552.0,88.0,170.0,34.0,2.0,35.0,86.0,6.0,0.0,69.0,95.0,10.0,313.0,14.0,0.0,4.0,16.0,0.308,0.392,0.567,0.959,170.0,0.406,169.0,5.4,ASMVP-9
Victor Caratini,astros,30.0,C,Both,87.0,274.0,245.0,30.0,66.0,8.0,1.0,8.0,30.0,0.0,1.0,23.0,53.0,3.0,100.0,6.0,0.0,3.0,1.0,0.269,0.336,0.408,0.744,111.0,0.325,113.0,1.3,
Chas McCormick,astros,29.0,OF,Right,94.0,267.0,242.0,32.0,51.0,6.0,1.0,5.0,27.0,8.0,2.0,17.0,72.0,4.0,74.0,3.0,1.0,3.0,0.0,0.211,0.271,0.306,0.576,64.0,0.274,71.0,-0.6,
